Interactions associated to P50053
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
10133911	SureCN6643299	0	0	0	0	0.165	0	0	0	0.008	
10134344	SureCN3917059	0	0	0	0	0.974	0	0	0	0.049	
10134861	SureCN6597223	0	0	0	0	0.138	0	0	0	0.007	
10135889	SureCN6596436	0	0	0	0	0.629	0	0	0	0.031	
10136035	SureCN6234224	0	0	0	0	0.804	0	0	0	0.04	
10136568	SureCN3921802	0	0	0	0	0.115	0	0	0	0.006	
10136788	CHEBI:338573	0	0	0	0.156	0	0	0	0	0.008	
10137291	CHEBI:351211	0	0	0	0	0.594	0	0	0	0.03	
10138392	CHEMBL437971	0	0	0	0	0.248	0	0	0	0.012	
10138993	2r64	0	0	0	0	0.716	0	0	0	0.036	
10143584	SureCN3779530	0	0	0	0	0	0	0.049	0	0.036	
10144909	SureCN3774039	0	0	0	0	0	0	0.051	0	0.038	
10149184	SureCN6401655	0	0	0	0	0.136	0	0	0	0.007	
10149755	SureCN5471061	0	0	0	0	0.501	0	0	0	0.025	
10150095	CHEBI:311977	0	0	0	0	0.309	0	0	0	0.015	
10151273	SureCN4376204	0	0	0	0	0.872	0	0	0	0.044	
10151356	SureCN4376625	0	0	0	0	0.762	0	0	0	0.038	
10151881	SureCN2443464	0	0	0	0	0.195	0	0.092	0	0.078	
10152000	CHEBI:496815	0	0	0	0	0.452	0	0	0	0.023	
10152514	SureCN2448707	0	0	0	0	0	0	0.091	0	0.068	
10152643	SureCN4092378	0	0	0	0	0.771	0	0	0	0.039	
10153026	SureCN1519021	0	0	0	0	0.571	0	0	0	0.029	
10153234	SureCN4286999	0	0	0	0	0.536	0	0	0	0.027	
10154451	SureCN7961514	0	0	0	0	0	0	0.11	0	0.082	
10155700	SureCN6645851	0	0	0	0	0.856	0	0	0	0.043	
10156522	CHEBI:406730	0	0	0	0	0.978	0	0	0	0.049	
10157625	CHEBI:419189	0	0	0	0	0	0	0.11	0	0.082	
10157920	SureCN2205554	0	0	0	0	0.867	0	0	0	0.043	
10158127	SureCN6594677	0	0	0	0	0.643	0	0	0	0.032	
10159114	SureCN6596581	0	0	0	0	0.113	0	0	0	0.006	
10159519	SureCN2203460	0	0	0	0	0.97	0	0	0	0.049	
10159833	SureCN2443036	0	0	0	0	0	0	0.097	0	0.072	
10160775	benzimidazole-urea	 19	0	0	0	0	0.165	0	0	0	0.008	
10161259	benzimidazole-urea	 22	0	0	0	0	0.882	0	0	0	0.044	
10163288	CHEMBL96487	0	0	0	0	0.769	0	0	0	0.038	
10163439	CHEBI:396926	0	0	0	0	0	0	0.058	0	0.043	
10163686	5-Cyanopyrimidine Derivative 2	0	0	0	0	0.524	0	0	0	0.026	
10163749	benzimidazole-urea	 20	0	0	0	0	0.852	0	0	0	0.043	
10164106	CHEMBL94825	0	0	0	0	0.937	0	0	0	0.047	
10164190	imidazopyridine-urea	 43	0	0	0	0	0.158	0	0	0	0.008	
10164393	SureCN6035023	0	0	0	0	0.224	0	0	0	0.011	
10164906	CHEBI:368651	0	0	0	0	0.915	0	0	0	0.046	
10164994	CHEBI:368099	0	0	0	0	0.779	0	0	0	0.039	
10165201	CHEBI:497328	0	0	0	0	0.37	0	0	0	0.018	
10165455	CHEBI:523038	0	0	0	0	0.041	0	0	0	0.002	
10165834	SureCN3195124	0	0	0	0	0.448	0	0	0	0.022	
10166322	CHEBI:434423	0	0	0	0	0.954	0	0	0	0.048	
10167305	CHEMBL572746	0	0	0	0	0.159	0	0	0	0.008	
10171595	SureCN1903910	0	0	0	0	0.436	0	0	0	0.022	
10171832	CHEBI:718369	0	0	0	0	0.659	0	0	0	0.033	
10172440	SureCN6370416	0	0	0	0	0.117	0	0	0	0.006	
10173974	SureCN6855764	0	0	0	0	0.37	0	0	0	0.018	
10175096	pyrazoloquinazoline deriv.	 8	0	0	0	0	0.95	0	0	0	0.048	
10175126	SureCN3491852	0	0	0	0	0.816	0	0	0	0.041	
10177172	SureCN3333452	0	0	0	0	0.118	0	0	0	0.006	
10177646	SureCN3919556	0	0	0	0	0.791	0	0	0	0.04	
10179215	SureCN2203222	0	0	0	0	0.912	0	0	0	0.046	
10179373	SureCN2203359	0	0	0	0	0.901	0	0	0	0.045	
10179864	SureCN3922132	0	0	0	0	0.106	0	0	0	0.005	
10180161	SureCN2204610	0	0	0	0	0.897	0	0	0	0.045	
10180415	SureCN7974987	0	0	0	0	0	0	0.11	0	0.082	
10180652	GW771127A	0	0	0	0	0	0	0.16	0	0.119	
10180876	SureCN3915305	0	0	0	0	0.822	0	0	0	0.041	
10181185	SureCN3925959	0	0	0	0	0.538	0	0	0	0.027	
10182284	SureCN2202920	0	0	0	0	0.939	0	0	0	0.047	
10182312	SureCN6597272	0	0	0	0	0.871	0	0	0	0.044	
10182654	CHEBI:350599	0	0	0	0	0.377	0	0	0	0.019	
10183216	benzimidazole-urea	 24	0	0	0	0	0.32	0	0	0	0.016	
10184615	benzimidazole-urea	 16	0	0	0	0	0.013	0	0	0	0.001	
10184859	SureCN5814373	0	0	0	0	0	0	0.049	0	0.036	
10185160	SureCN3774803	0	0	0	0	0	0	0.037	0	0.027	
10186269	benzimidazole-urea	 34	0	0	0	0	0.552	0	0	0	0.028	
10186317	SureCN3264813	0	0	0	0	0.309	0	0	0	0.015	
10187378	SureCN3773926	0	0	0	0	0	0	0.067	0	0.05	
10188021	SureCN3775079	0	0	0	0	0	0	0.053	0	0.039	
10188786	SureCN5755163	0	0	0	0	0.099	0	0.04	0	0.035	
10193136	SureCN423664	0	0	0	0	0.39	0	0	0	0.019	
10193305	SureCN5458631	0	0	0	0	0.514	0	0	0	0.026	
10194617	SureCN7093112	0	0	0	0	0.11	0	0	0	0.005	
10194801	SureCN2443472	0	0	0	0	0	0	0.065	0	0.048	
10195479	SureCN2441670	0	0	0	0	0.3	0	0.068	0	0.065	
10195536	SureCN4377489	0	0	0	0	0.739	0	0	0	0.037	
10196499	Akti-1/2	0	0	0	0	0.448	0	0	0	0.022	
10196735	SureCN4293621	0	0	0	0	0.967	0	0	0	0.048	
10196758	SureCN3490339	0	0	0	0	0.84	0	0	0	0.042	
10200044	CTK0J7446	0	0	0	0	0	0	0.11	0	0.082	
10200092	SureCN6597534	0	0	0	0	0.512	0	0	0	0.026	
10200408	SureCN2204454	0	0	0	0	0.916	0	0	0	0.046	
10200452	CHEBI:425445	0	0	0	0	0.736	0	0	0	0.037	
10200879	SureCN2755759	0	0	0	0	0.094	0	0	0	0.005	
10202305	SureCN6592978	0	0	0	0	0.526	0	0	0	0.026	
10204194	SureCN6596290	0	0	0	0	0.92	0	0	0	0.046	
10204357	benzimidazole-urea	 21	0	0	0	0	0.67	0	0	0	0.034	
10204815	CHEMBL571782	0	0	0	0	0.717	0	0	0	0.036	
10206034	SureCN4454660	0	0	0	0	0.918	0	0	0	0.046	
10207537	CHEBI:368618	0	0	0	0	0.764	0	0	0	0.038	
10209082	SureCN3774124	0	0	0	0	0	0	0.049	0	0.036	
10209108	SureCN3773332	0	0	0	0	0	0	0.074	0	0.055	
10209627	SureCN3203253	0	0	0	0	0.027	0	0	0	0.001	
10215135	SureCN4476755	0	0	0	0	0.079	0	0	0	0.004	
10215642	SureCN6370063	0	0	0	0	0.273	0	0	0	0.014	
10215809	SureCN7092425	0	0	0	0	0.45	0	0	0	0.022	
10215918	SureCN5469452	0	0	0	0	0.742	0	0	0	0.037	
10216042	SureCN7093961	0	0	0	0	0.423	0	0	0	0.021	
10216257	CHEBI:309072	0	0	0	0	0.897	0	0	0	0.045	
10217017	arylaminobenzimidazole	 18	0	0	0	0	0.571	0	0	0	0.029	
10217083	SureCN2446019	0	0	0	0	0	0	0.088	0	0.065	
10217304	SureCN2441842	0	0	0	0	0.275	0	0.086	0	0.078	
10217590	SureCN2447488	0	0	0	0	0	0	0.075	0	0.056	
10221608	SureCN6590203	0	0	0	0	0.616	0	0	0	0.031	
10221628	SureCN6593041	0	0	0	0	0.639	0	0	0	0.032	
10222462	SureCN8152309	0	0	0	0	0	0	0.071	0	0.053	
10222496	SureCN6641749	0	0	0	0	0.85	0	0	0	0.042	
10222656	CHEBI:325007	0	0	0	0	0.419	0	0	0	0.021	
10222721	SureCN2204682	0	0	0	0	0.768	0	0	0	0.038	
10223401	CHEBI:350983	0	0	0	0	0.186	0	0	0	0.009	
10223662	SureCN6596475	0	0	0	0	0.718	0	0	0	0.036	
10224042	SureCN3917051	0	0	0	0	0.359	0	0	0	0.018	
10224259	CHEMBL569587	0	0	0	0	0.606	0	0	0	0.03	
10225270	CHEBI:351164	0	0	0	0	0.377	0	0	0	0.019	
10226418	SureCN2441271	0	0	0	0	0	0	0.065	0	0.048	
10227095	SureCN2444999	0	0	0	0	0.322	0	0.055	0	0.057	
10227907	SureCN2444644	0	0	0	0	0.292	0	0.092	0	0.083	
10229632	benzimidazole-urea	 23	0	0	0	0	0.865	0	0	0	0.043	
10229750	diaryl urea compound 9	0	0	0	0	0.767	0	0	0	0.038	
10230606	CHEBI:497348	0	0	0	0	0.37	0	0	0	0.018	
10230609	benzthiazole-urea	 54	0	0	0	0	0.902	0	0	0	0.045	
10236187	SureCN6402221	0	0	0	0	0.002	0	0	0	0	
10236371	SureCN6405625	0	0	0	0	0.103	0	0	0	0.005	
10238690	SureCN6849859	0	0	0	0	0.557	0	0	0	0.028	
10239608	SureCN4290814	0	0	0	0	0.575	0	0	0	0.029	
10239769	SureCN4292481	0	0	0	0	0.716	0	0	0	0.036	
10239873	SureCN4290487	0	0	0	0	0.816	0	0	0	0.041	
10239891	SureCN3490520	0	0	0	0	0.735	0	0	0	0.037	
10247424	SureCN4762629	0	0	0	0	0.29	0	0	0	0.014	
10247954	SureCN1518720	0	0	0	0	0.459	0	0	0	0.023	
10248940	SureCN2983553	0	0	0	0	0.586	0	0	0	0.029	
10253331	SureCN2053452	0	0	0	0.192	0	0	0.11	0	0.091	
10253430	SureCN6247960	0	0	0	0	0.419	0	0	0	0.021	
10253975	CHEBI:338999	0	0	0	0.175	0	0	0.093	0	0.078	
10256075	CHEBI:659374	0	0	0	0	0.421	0	0	0	0.021	
10257503	SureCN6196018	0	0	0	0	0.806	0	0	0	0.04	
10257574	SureCN2941457	0	0	0	0	0.31	0	0	0	0.015	
10258200	CHEBI:486276	0	0	0	0	0.215	0	0	0	0.011	
10266513	SureCN5465068	0	0	0	0	0.881	0	0	0	0.044	
10267663	HMS3401G08	0	0	0	0	0.024	0	0	0	0.001	
10267834	SureCN2206853	0	0	0	0	0.781	0	0	0	0.039	
10268127	CHEBI:411518	0	0	0	0	0.166	0	0	0	0.008	
10268530	SureCN2205907	0	0	0	0	0.72	0	0	0	0.036	
10268741	SureCN6588419	0	0	0	0	0.643	0	0	0	0.032	
10269818	SureCN6586161	0	0	0	0	0.896	0	0	0	0.045	
10270322	SureCN6588503	0	0	0	0	0.599	0	0	0	0.03	
10270356	SureCN2205515	0	0	0	0	0.878	0	0	0	0.044	
10271635	SureCN3928040	0	0	0	0	0.098	0	0	0	0.005	
10273106	CHEBI:350752	0	0	0	0	0.494	0	0	0	0.025	
10273318	SureCN7974897	0	0	0	0	0	0	0.11	0	0.082	
10273410	SureCN2205038	0	0	0	0	0.515	0	0	0	0.026	
10275001	CEP-5214	0	0	0	0	0.377	0	0	0	0.019	
10275574	SureCN6596952	0	0	0	0	0.751	0	0	0	0.038	
10275896	SB-682330A	0	0	0	0	0.777	0	0	0	0.039	
10276395	benzimidazole-urea	 26	0	0	0	0	0.611	0	0	0	0.031	
10278863	CHEBI:368031	0	0	0	0	0.931	0	0	0	0.047	
10279557	CHEBI:368097	0	0	0	0	0.945	0	0	0	0.047	
10279624	benzthiazole-urea	 40	0	0	0	0	0.072	0	0	0	0.004	
10280196	CHEMBL96225	0	0	0	0	0.698	0	0	0	0.035	
10280848	benzimidazole-urea	 36	0	0	0	0	0.807	0	0	0	0.04	
10286399	SureCN4480413	0	0	0	0	0.286	0	0	0	0.014	
10287149	SureCN7092025	0	0	0	0	0.897	0	0	0	0.045	
10287269	SureCN5462206	0	0	0	0	0.535	0	0	0	0.027	
10287337	SureCN588879	0	0	0	0	0.115	0	0	0	0.006	
10287402	SureCN7088554	0	0	0	0	0.861	0	0	0	0.043	
10288283	SureCN5843652	0	0	0	0	0.246	0	0	0	0.012	
10288917	SureCN2444334	0	0	0	0	0	0	0.062	0	0.046	
10288918	SureCN2441297	0	0	0	0	0.221	0	0.074	0	0.066	
10288920	SureCN2442880	0	0	0	0	0.259	0	0.092	0	0.081	
10289046	SureCN4714920	0	0	0	0	0.526	0	0	0	0.026	
10289802	SureCN4294137	0	0	0	0	0.933	0	0	0	0.047	
10291035	CHEBI:411460	0	0	0	0	0.276	0	0	0	0.014	
10291751	SureCN7971465	0	0	0	0	0	0	0.11	0	0.082	
10291997	SureCN6586594	0	0	0	0	0.937	0	0	0	0.047	
10292186	SureCN2203023	0	0	0	0	0.865	0	0	0	0.043	
10292206	SureCN3916715	0	0	0	0	0.829	0	0	0	0.041	
10292251	SureCN3919555	0	0	0	0	0.644	0	0	0	0.032	
10293769	SureCN7972976	0	0	0	0	0	0	0.11	0	0.082	
10295144	SureCN6767314	0	0	0	0	0.424	0	0	0	0.021	
10297043	NVP-AEE788	0	0	0	0	0.561	0	0	0	0.028	
10297090	SureCN6599259	0	0	0	0	0.58	0	0	0	0.029	
10297469	SureCN6597246	0	0	0	0	0.923	0	0	0	0.046	
10297734	3-cyanoquinoline	 11	0	0	0	0	0.699	0	0	0	0.035	
10297929	SureCN6766038	0	0	0	0	0.142	0	0	0	0.007	
10298332	CHEBI:698027	0	0	0	0	0.139	0	0	0	0.007	
10300768	benzimidazole-urea	 30	0	0	0	0	0.327	0	0	0	0.016	
10301014	SureCN6035110	0	0	0	0	0.224	0	0	0	0.011	
10302209	benzimidazole-urea	 35	0	0	0	0	0.408	0	0	0	0.02	
10302405	SureCN5757856	0	0	0	0	0	0	0.074	0	0.055	
10302451	saracatinib	0	0	0	0	0.027	0	0	0	0.001	
10303029	SureCN6035091	0	0	0	0	0.3	0	0	0	0.015	
10303277	3-cyanoquinoline	 8	0	0	0	0	0.662	0	0	0	0.033	
10308125	SureCN6406834	0	0	0	0	0.061	0	0	0	0.003	
10309300	SureCN7091704	0	0	0	0	0.459	0	0	0	0.023	
10309491	SureCN7088597	0	0	0	0	0.413	0	0	0	0.021	
10309500	SureCN5464869	0	0	0	0	0.303	0	0	0	0.015	
10309561	SureCN7091431	0	0	0	0	0.17	0	0	0	0.009	
10310843	SureCN2443045	0	0	0	0	0.649	0	0.087	0	0.097	
10311595	SureCN940018	0	0	0	0	0.307	0	0	0	0.015	
10311596	CHEBI:376517	0	0	0	0	0.132	0	0	0	0.007	
10311867	SureCN4291343	0	0	0	0	0.716	0	0	0	0.036	
10311891	SureCN4288439	0	0	0	0	0.575	0	0	0	0.029	
10312249	SureCN4295330	0	0	0	0	0.967	0	0	0	0.048	
10316132	CHEMBL39488	0	0	0	0	0.035	0	0	0	0.002	
10319137	SureCN6881663	0	0	0	0.185	0	0	0.11	0	0.091	
10320381	CHEMBL56569	0	0	0	0	0.103	0	0	0	0.005	
10321190	SB242719	0	0	0	0	0.586	0	0	0	0.029	
10321589	AstraZeneca compound  1	0	0	0	0	0.699	0	0	0	0.035	
10325135	CHEBI:422909	0	0	0	0	0.782	0	0	0	0.039	
10333656	SureCN5472662	0	0	0	0	0.207	0	0	0	0.01	
10334509	CHEMBL170865	0	0	0	0	0.959	0	0	0	0.048	
10339551	SureCN2982584	0	0	0	0	0.108	0	0	0	0.005	
10340386	SureCN2033304	0	0	0	0	0	0	0.11	0	0.082	
10341165	CHEBI:281951	0	0	0	0	0.809	0	0	0	0.04	
10342546	SureCN7126213	0	0	0	0	0.032	0	0	0	0.002	
10342811	CHEBI:406897	0	0	0	0.196	0.198	0	0	0	0.02	
10346232	CTK5C3417	0	0	0	0	0.057	0	0	0	0.003	
10346473	SureCN5339550	0	0	0	0	0.768	0	0	0	0.038	
10348755	BMS-577098	0	0	0	0	0.878	0	0	0	0.044	
10355488	SureCN5470219	0	0	0	0	0.344	0	0	0	0.017	
10359460	CHEBI:578698	0	0	0	0	0.28	0	0	0	0.014	
10359768	dihydro-quinazolinone	 20f	0	0	0	0	0.284	0	0	0	0.014	
10365064	CHEBI:276778	0	0	0	0	0.098	0	0	0	0.005	
10382627	SureCN3738592	0	0	0	0	0.243	0	0	0	0.012	
10385282	C-4 substituted oxindole inhibitor 7n	0	0	0	0	0.518	0	0	0	0.026	
10386848	SureCN8709974	0	0	0	0	0.849	0	0	0	0.042	
10387163	SureCN5738042	0	0	0	0	0.779	0	0	0	0.039	
10388586	CHEBI:487339	0	0	0	0	0.695	0	0	0	0.035	
10388612	CHEBI:422912	0	0	0	0	0.78	0	0	0	0.039	
10389037	K3-2	0	0	0	0	0.252	0	0	0	0.013	
10390396	BMS-536924	0	0	0	0	0.854	0	0	0	0.043	
10391910	SureCN2034168	0	0	0	0.191	0.923	0	0.11	0	0.137	
10392387	3-cyanoquinoline	 6	0	0	0	0	0.262	0	0	0	0.013	
10395226	CHEMBL46252	0	0	0	0	0.516	0	0	0	0.026	
10400560	CHEMBL171366	0	0	0	0	0.949	0	0	0	0.047	
10402283	SureCN2760094	0	0	0	0	0.612	0	0	0	0.031	
10407860	dihydro-quinazolinone	 20j	0	0	0	0	0.387	0	0	0	0.019	
10411641	CHEBI:281952	0	0	0	0	0.598	0	0	0	0.03	
10413666	SureCN6373835	0	0	0	0	0.195	0	0	0	0.01	
10413828	CHEBI:303574	0	0	0	0	0.767	0	0	0	0.038	
10414039	SureCN5828965	0	0	0	0	0.788	0	0	0	0.039	
10427414	SureCN4036749	0	0	0	0	0.435	0	0	0	0.022	
10429435	SureCN5465386	0	0	0	0	0.804	0	0	0	0.04	
10429704	isothiazole	 10e	0	0	0	0	0.066	0	0	0	0.003	
10430484	CHEBI:381899	0	0	0	0	0.299	0	0	0	0.015	
10431115	SureCN6229341	0	0	0	0	0.24	0	0	0	0.012	
10432161	SureCN5902146	0	0	0	0	0.901	0	0	0	0.045	
10432907	CHEBI:280296	0	0	0	0	0.875	0	0	0	0.044	
10434122	SureCN7119522	0	0	0	0	0.453	0	0	0	0.023	
10435854	CHEBI:620285	0	0	0	0	0.02	0	0	0	0.001	
10436729	CHEBI:422739	0	0	0	0	0.601	0	0	0	0.03	
10436869	CTK5C3416	0	0	0	0	0.147	0	0	0	0.007	
10438950	CHEBI:270284	0	0	0	0	0.404	0	0	0	0.02	
10451420	ACHP	0	0	0	0	0.969	0	0	0	0.048	
10452500	SureCN8349585	0	0	0	0	0.695	0	0	0	0.035	
10453829	CHEBI:267916	0	0	0	0	0.285	0	0	0	0.014	
10454249	CHEBI:259700	0	0	0	0.146	0	0	0	0	0.007	
10455817	benzo[1	4]oxazin-3-one	 10c	0	0	0	0	0.599	0	0	0	0.03	
10458352	CTK5G2506	0	0	0	0	0.673	0	0	0	0.034	
10459386	3-cyanoquinoline	 5	0	0	0	0	0.143	0	0	0	0.007	
10461267	PHA-919	0	0	0	0	0.794	0	0	0	0.04	
10461359	CHEBI:269428	0	0	0	0	0.789	0	0	0	0.039	
10474839	CTK8F1326	0	0	0	0	0.069	0	0	0	0.003	
10475216	CHEBI:517435	0	0	0	0	0.297	0	0	0	0.015	
10478569	CHEBI:422813	0	0	0	0	0.82	0	0	0	0.041	
10479260	CHEBI:389750	0	0	0	0	0.229	0	0	0	0.011	
10480046	CHEBI:387830	0	0	0	0	0.333	0	0	0	0.017	
10482987	CHEBI:486290	0	0	0	0	0.239	0	0	0	0.012	
10500024	CHEMBL73337	0	0	0	0	0.805	0	0	0	0.04	
10502034	CHEBI:260884	0	0	0	0.018	0	0	0.11	0	0.083	
10502035	CHEBI:260943	0	0	0	0.016	0	0	0.094	0	0.071	
10502860	CHEMBL98744	0	0	0	0.022	0	0	0.11	0	0.083	
10502897	CHEMBL73062	0	0	0	0	0.533	0	0	0	0.027	
10503143	SureCN5737666	0	0	0	0	0.825	0	0	0	0.041	
10503787	CHEBI:261467	0	0	0	0	0	0	0.11	0	0.082	
1052080	AC1LKWMF	0	0	0	0	0.802	0	0	0	0.04	
10522936	CHEBI:390226	0	0	0	0	0.815	0	0	0	0.041	
10522937	CHEBI:388576	0	0	0	0	0.815	0	0	0	0.041	
10523081	CHEMBL76189	0	0	0	0	0.456	0	0	0	0.023	
10523147	SureCN2996073	0	0	0	0	0.834	0	0	0	0.042	
10524206	CHEBI:260786	0	0	0	0	0	0	0.061	0	0.045	
10525360	CHEBI:260584	0	0	0	0	0	0	0.11	0	0.082	
10525523	SureCN8327018	0	0	0	0	0	0	0.045	0	0.033	
10526980	CHEBI:260797	0	0	0	0.016	0	0	0.11	0	0.082	
10528763	CHEBI:260926	0	0	0	0.01	0	0	0.11	0	0.082	
10529636	SureCN6171455	0	0	0	0	0.456	0	0	0	0.023	
10530175	DNC011620	0	0	0	0	0.577	0	0	0	0.029	
10533306	CHEBI:546231	0	0	0	0	0.981	0	0	0	0.049	
10539833	SureCN2462868	0	0	0	0	0	0	0	0	0	
10541248	SureCN2458418	0	0	0	0	0	0	0.006	0	0.004	
10544075	CHEBI:250434	0	0	0	0	0.834	0	0	0	0.042	
10545701	CHEMBL70916	0	0	0	0	0.36	0	0	0	0.018	
10547791	CHEMBL92700	0	0	0	0	0.819	0	0	0	0.041	
10548287	CHEMBL97553	0	0	0	0	0	0	0.11	0	0.082	
10549940	CHEBI:260749	0	0	0	0.012	0	0	0	0	0.001	
10552221	CHEBI:260735	0	0	0	0	0	0	0.11	0	0.082	
10566926	CHEBI:390067	0	0	0	0	0.772	0	0	0	0.039	
10569366	SureCN2459255	0	0	0	0	0	0	0.002	0	0.001	
10572215	CHEBI:260751	0	0	0	0	0	0	0.11	0	0.082	
10573376	CHEBI:259639	0	0	0	0	0	0	0.11	0	0.082	
10573944	CHEMBL99062	0	0	0	0	0	0	0.11	0	0.082	
10581141	CHEBI:604161	0	0	0	0	0.981	0	0	0	0.049	
10593390	CHEMBL98424	0	0	0	0	0	0	0.059	0	0.044	
10598084	SureCN5738585	0	0	0	0	0.469	0	0	0	0.023	
10600065	CHEBI:331382	0	0	0	0	0.416	0	0	0	0.021	
10600490	CHEMBL75507	0	0	0	0	0.806	0	0	0	0.04	
