Interactions associated to 644241
ID	Name	DTHybrid	kbmf	minhash	RLS	svm	drugbank	stitch	kiba	integrative
Q16539	MAPK14	0	0	0	0.021	0	0	0.756	0.009	0.564	
Q16620	NTRK2	0	0	0	0	0	0	0.144	0.008	0.112	
Q16832	DDR2	0.021	0	0	0.237	0	0	0.895	0.918	0.755	
Q59H18	TNNI3K	0	0	0	0	0	0	0	0.016	0.012	
Q7L7X3	TAOK1	0	0	0	0	0	0	0	0	0	
Q8NE63	HIPK3	0	0	0	0.07	0	0	0	0	0.004	
Q8TBX8	PIP4K2C	0	0	0	0	0	0	0	0	0	
Q8TF76	GRK7	0	0	0	0	0	0	0.058	0	0.043	
Q92918	MAP4K1	0	0	0	0	0	0	0	0.001	0.001	
Q96GD4	AURKB	0	0	0	0	0	0	0.008	0	0.006	
Q9H2K8	TAOK3	0	0	0	0	0	0	0	0	0	
Q9HAZ1	CLK4	0	0	0	0	0	0	0.417	0	0.31	
Q9NYL2	MLTK	0	0	0	0	0	0	0	0.78	0.579	
Q9UF33	EPHA5	0	0	0	0	0	0	0	0.004	0.003	
Q9UQB9	AURKC	0	0	0	0	0	0	0.002	0	0.001	
Q9Y463	DYRK1B	0	0	0	0	0	0	0.08	0	0.059	
Q9Y5S2	CDC42BPB	0	0	0	0	0	0	0	0.001	0.001	
