uniprot_ID	aliase
O75716	ENSP00000379964
O75747	ENSP00000266497
O75747	ENSP00000404845
O75914	ENSP00000361080
O75914	ENSP00000429113
O75914	ENSP00000361077
O75914	ENSP00000428921
O75914	ENSP00000389172
O75914	ENSP00000353864
O75914	ENSP00000401982
O75914	ENSP00000262836
O75914	ENSP00000410853
O75956	ENSP00000301488
O76039	ENSP00000369332
O76039	ENSP00000369325
O76039	ENSP00000485244
O94768	ENSP00000263955
O94768	ENSP00000386853
O94804	ENSP00000176763
O94806	ENSP00000368356
O94806	ENSP00000234179
O94921	ENSP00000369390
O94921	ENSP00000265741
O94921	ENSP00000385034
O95382	ENSP00000363152
O95382	ENSP00000419591
O95382	ENSP00000350195
O95544	ENSP00000341679
O95544	ENSP00000344340
O95544	ENSP00000367890
O95747	ENSP00000311713
O95819	ENSP00000314363
O95835	ENSP00000437550
O95835	ENSP00000253339
O95835	ENSP00000444678
O96013	ENSP00000470284
O96013	ENSP00000326864
O96013	ENSP00000351049
O96013	ENSP00000469413
O96013	ENSP00000471157
O96013	ENSP00000353625
O96017	ENSP00000385747
O96017	ENSP00000329178
O96017	ENSP00000386087
O96017	ENSP00000372023
O96017	ENSP00000404567
O96017	ENSP00000412901
O96017	ENSP00000404400
O96017	ENSP00000384919
O96017	ENSP00000384835
O96017	ENSP00000329012
P00519	ENSP00000361423
P00519	ENSP00000323315
P00533	ENSP00000342376
P00533	ENSP00000345973
P00533	ENSP00000413843
P00533	ENSP00000275493
P00749	ENSP00000361850
P04049	ENSP00000251849
P04049	ENSP00000401888
P04183	ENSP00000301634
P04626	ENSP00000462438
P04626	ENSP00000269571
P04626	ENSP00000385185
P04626	ENSP00000446466
P04629	ENSP00000376120
P04629	ENSP00000357179
P04629	ENSP00000431418
P05129	ENSP00000263431
P05771	ENSP00000318315
P05771	ENSP00000305355
P06213	ENSP00000342838
P06213	ENSP00000303830
P06239	ENSP00000337825
P06239	ENSP00000328213
P06239	ENSP00000477713
P06241	ENSP00000357671
P06241	ENSP00000346671
P06241	ENSP00000229471
P06241	ENSP00000357656
P06241	ENSP00000357667
P06241	ENSP00000440646
P06493	ENSP00000378699
P06493	ENSP00000362915
P06493	ENSP00000325970
P06732	ENSP00000221476
P07332	ENSP00000331504
P07332	ENSP00000414629
P07332	ENSP00000377837
P07332	ENSP00000400868
P07333	ENSP00000286301
P07333	ENSP00000445282
P07947	ENSP00000462468
P07947	ENSP00000324740
P07948	ENSP00000428924
P07948	ENSP00000428424
P07949	ENSP00000347942
P07949	ENSP00000344798
P08069	ENSP00000268035
P08581	ENSP00000380860
P08581	ENSP00000317272
P08581	ENSP00000410980
P08631	ENSP00000429848
P08631	ENSP00000427757
P08631	ENSP00000441169
P08922	ENSP00000357494
P09619	ENSP00000261799
P09769	ENSP00000363117
P09769	ENSP00000363116
P09769	ENSP00000363115
P09769	ENSP00000382126
P0C1S8	ENSP00000380675
P0C1S8	ENSP00000459392
P0C264	ENSP00000483467
P10398	ENSP00000366244
P10398	ENSP00000366238
P10721	ENSP00000390987
P10721	ENSP00000288135
P11274	ENSP00000303507
P11274	ENSP00000352535
P11309	ENSP00000362608
P11362	ENSP00000380280
P11362	ENSP00000432972
P11362	ENSP00000380302
P11362	ENSP00000348537
P11362	ENSP00000337247
P11362	ENSP00000327229
P11362	ENSP00000380297
P11362	ENSP00000433163
P11362	ENSP00000393312
P11362	ENSP00000400162
P11802	ENSP00000257904
P12931	ENSP00000362680
P12931	ENSP00000362668
P12931	ENSP00000362659
P12931	ENSP00000350941
P14616	ENSP00000357178
P15056	ENSP00000288602
P15735	ENSP00000455607
P15735	ENSP00000388571
P16066	ENSP00000357669
P16234	ENSP00000257290
P16234	ENSP00000425648
P16234	ENSP00000424218
P16591	ENSP00000281092
P16591	ENSP00000394297
P16591	ENSP00000484767
P17252	ENSP00000408695
P17612	ENSP00000309591
P17612	ENSP00000466651
P17948	ENSP00000282397
P17948	ENSP00000437631
P17948	ENSP00000484039
P17948	ENSP00000442630
P17948	ENSP00000437841
P19367	ENSP00000352398
P19367	ENSP00000353433
P19367	ENSP00000298649
P19367	ENSP00000402103
P19525	ENSP00000233057
P19525	ENSP00000385014
P19525	ENSP00000378559
P19784	ENSP00000262506
P20594	ENSP00000341083
P20794	ENSP00000313021
P20794	ENSP00000476067
P20794	ENSP00000346484
P20794	ENSP00000442221
P21709	ENSP00000275815
P21802	ENSP00000351276
P21802	ENSP00000348559
P21802	ENSP00000358056
P21802	ENSP00000263451
P21802	ENSP00000410294
P21802	ENSP00000353262
P21802	ENSP00000358052
P21802	ENSP00000358054
P21802	ENSP00000352309
P21802	ENSP00000350166
P21802	ENSP00000358057
P21860	ENSP00000267101
P21860	ENSP00000415753
P21860	ENSP00000447510
P21860	ENSP00000408340
P22455	ENSP00000292408
P22455	ENSP00000424960
P22455	ENSP00000377254
P22607	ENSP00000260795
P22607	ENSP00000231803
P22607	ENSP00000339824
P22607	ENSP00000412903
P22607	ENSP00000414914
P22612	ENSP00000366488
P22694	ENSP00000359723
P22694	ENSP00000359722
P22694	ENSP00000359719
P22694	ENSP00000378315
P22694	ENSP00000481980
P22694	ENSP00000479722
P22694	ENSP00000359716
P23443	ENSP00000441993
P23443	ENSP00000384335
P23443	ENSP00000225577
P23443	ENSP00000376744
P23458	ENSP00000343204
P23919	ENSP00000304802
P24723	ENSP00000329127
P24723	ENSP00000450981
P24941	ENSP00000266970
P24941	ENSP00000243067
P25098	ENSP00000312262
P27037	ENSP00000241416
P27037	ENSP00000384338
P27037	ENSP00000439988
P27144	ENSP00000322175
P27144	ENSP00000445912
P27144	ENSP00000378743
P27361	ENSP00000263025
P27361	ENSP00000378628
P27361	ENSP00000378625
P27361	ENSP00000327293
P27448	ENSP00000303698
P27448	ENSP00000450772
P27707	ENSP00000286648
P27986	ENSP00000428056
P27986	ENSP00000429277
P27986	ENSP00000323512
P27986	ENSP00000338554
P27986	ENSP00000430098
P28482	ENSP00000215832
P28482	ENSP00000381803
P28482	ENSP00000440842
P29317	ENSP00000351209
P29320	ENSP00000337451
P29320	ENSP00000399926
P29322	ENSP00000363775
P29322	ENSP00000166244
P29322	ENSP00000440274
P29323	ENSP00000363761
P29323	ENSP00000383053
P29323	ENSP00000363763
P29376	ENSP00000347293
P29376	ENSP00000263800
P29376	ENSP00000392196
P29597	ENSP00000431885
P29597	ENSP00000264818
P30291	ENSP00000402084
P30291	ENSP00000299613
P30530	ENSP00000301178
P30530	ENSP00000351995
P31152	ENSP00000383234
P31749	ENSP00000451828
P31749	ENSP00000384293
P31749	ENSP00000270202
P31749	ENSP00000385326
P31749	ENSP00000450688
P31749	ENSP00000443897
P31749	ENSP00000451166
P31751	ENSP00000375892
P31751	ENSP00000309428
P31751	ENSP00000399532
P32189	ENSP00000368229
P32189	ENSP00000368226
P32189	ENSP00000368228
P32189	ENSP00000401720
P32298	ENSP00000381128
P32298	ENSP00000381129
P32298	ENSP00000264764
P32298	ENSP00000427445
P33981	ENSP00000422936
P33981	ENSP00000230510
P33981	ENSP00000358813
P34947	ENSP00000376609
P35557	ENSP00000384247
P35557	ENSP00000379142
P35557	ENSP00000223366
P35557	ENSP00000482149
P35558	ENSP00000319814
P35590	ENSP00000361554
P35590	ENSP00000440063
P35626	ENSP00000317578
P35790	ENSP00000265689
P35790	ENSP00000348454
P35916	ENSP00000261937
P35916	ENSP00000377016
P35968	ENSP00000263923
P36507	ENSP00000262948
P36888	ENSP00000241453
P36894	ENSP00000361107
P36896	ENSP00000257963
P36896	ENSP00000442656
P36896	ENSP00000390477
P36896	ENSP00000397550
P36896	ENSP00000442885
P36897	ENSP00000364133
P36897	ENSP00000364129
P36897	ENSP00000447297
P37023	ENSP00000373574
P37173	ENSP00000295754
P37173	ENSP00000351905
P41240	ENSP00000220003
P41240	ENSP00000414764
P41240	ENSP00000454906
P41279	ENSP00000263056
P41279	ENSP00000364470
P41279	ENSP00000443610
P41743	ENSP00000295797
P42336	ENSP00000263967
P42338	ENSP00000418143
P42338	ENSP00000289153
P42345	ENSP00000354558
P42679	ENSP00000378481
P42679	ENSP00000308734
P42679	ENSP00000378485
P42679	ENSP00000483213
P42680	ENSP00000370912
P42681	ENSP00000264316
P42684	ENSP00000427562
P42684	ENSP00000339209
P42684	ENSP00000423578
P42684	ENSP00000426831
P42684	ENSP00000356595
P42684	ENSP00000423413
P42684	ENSP00000424697
P42684	ENSP00000375897
P42685	ENSP00000476145
P43250	ENSP00000347655
P43250	ENSP00000348230
P43250	ENSP00000433511
P43403	ENSP00000264972
P43403	ENSP00000400475
P43405	ENSP00000364907
P43405	ENSP00000364904
P43405	ENSP00000364899
P43405	ENSP00000364898
P45983	ENSP00000363304
P45983	ENSP00000363297
P45983	ENSP00000363294
P45983	ENSP00000363291
P45983	ENSP00000378974
P45983	ENSP00000353483
P45984	ENSP00000394560
P45984	ENSP00000377028
P45984	ENSP00000389338
P45984	ENSP00000345524
P45984	ENSP00000397422
P45985	ENSP00000262445
P45985	ENSP00000410402
P46019	ENSP00000369274
P46020	ENSP00000362643
P46020	ENSP00000342469
P46020	ENSP00000441251
P46734	ENSP00000345083
P46734	ENSP00000319139
P46734	ENSP00000478619
P46734	ENSP00000355081
P48729	ENSP00000261798
P48729	ENSP00000421689
P48729	ENSP00000367074
P48730	ENSP00000324464
P48730	ENSP00000376146
P48736	ENSP00000392258
P48736	ENSP00000419260
P48736	ENSP00000352121
P49137	ENSP00000294981
P49137	ENSP00000356070
P49336	ENSP00000370938
P49674	ENSP00000352929
P49674	ENSP00000383067
P49674	ENSP00000384074
P49674	ENSP00000380044
P49759	ENSP00000326830
P49759	ENSP00000400487
P49759	ENSP00000394734
P49760	ENSP00000459461
P49760	ENSP00000460443
P49760	ENSP00000354856
P49760	ENSP00000357345
P49761	ENSP00000344112
P49761	ENSP00000431825
P49761	ENSP00000378505
P49840	ENSP00000222330
P49840	ENSP00000412663
P49841	ENSP00000264235
P49841	ENSP00000324806
P50053	ENSP00000260599
P50053	ENSP00000260598
P50613	ENSP00000479116
P50613	ENSP00000256443
P50750	ENSP00000362361
P51451	ENSP00000259089
P51570	ENSP00000225614
P51570	ENSP00000465930
P51617	ENSP00000358997
P51617	ENSP00000358991
P51617	ENSP00000377291
P51812	ENSP00000368884
P51813	ENSP00000350224
P51813	ENSP00000308774
P51813	ENSP00000340082
P51817	ENSP00000262848
P51955	ENSP00000355966
P51955	ENSP00000355965
P51956	ENSP00000480328
P51956	ENSP00000484443
P51956	ENSP00000484086
P51957	ENSP00000233027
P51957	ENSP00000373227
P51957	ENSP00000437703
P52333	ENSP00000432511
P52333	ENSP00000436421
P52333	ENSP00000391676
P52564	ENSP00000468348
P52564	ENSP00000467213
P52564	ENSP00000477701
P53350	ENSP00000300093
P53355	ENSP00000350785
P53355	ENSP00000417076
P53355	ENSP00000386135
P53355	ENSP00000419026
P53355	ENSP00000484267
P53355	ENSP00000418885
P53667	ENSP00000336740
P53667	ENSP00000414606
P53667	ENSP00000444452
P53671	ENSP00000332687
P53671	ENSP00000330470
P53671	ENSP00000339916
P53778	ENSP00000215659
P53778	ENSP00000479972
P53779	ENSP00000378598
P53779	ENSP00000352157
P53779	ENSP00000355297
P53779	ENSP00000378589
P53779	ENSP00000378595
P54619	ENSP00000323867
P54619	ENSP00000447433
P54619	ENSP00000448972
P54646	ENSP00000360290
P54753	ENSP00000332118
P54756	ENSP00000273854
P54756	ENSP00000346899
P54760	ENSP00000350896
P54760	ENSP00000482702
P54762	ENSP00000381097
P54762	ENSP00000419574
P54764	ENSP00000386829
P54764	ENSP00000281821
P54819	ENSP00000362548
P54819	ENSP00000346921
P55263	ENSP00000286621
P55263	ENSP00000361819
P55263	ENSP00000443965
P55263	ENSP00000438321
P57058	ENSP00000270112
P57059	ENSP00000270162
P57078	ENSP00000332454
P57078	ENSP00000330161
P60891	ENSP00000361512
P67870	ENSP00000415237
P67870	ENSP00000411322
P67870	ENSP00000410802
P67870	ENSP00000407018
P67870	ENSP00000394855
P67870	ENSP00000412520
P67870	ENSP00000415303
P67870	ENSP00000413469
P67870	ENSP00000395275
P67870	ENSP00000400188
P67870	ENSP00000409510
P67870	ENSP00000407379
P67870	ENSP00000365042
P67870	ENSP00000365025
P67870	ENSP00000365026
P67870	ENSP00000390900
P67870	ENSP00000393756
P67870	ENSP00000391038
P67870	ENSP00000372925
P67870	ENSP00000372919
P67870	ENSP00000382980
P68400	ENSP00000339247
P68400	ENSP00000217244
P68400	ENSP00000383076
P78356	ENSP00000480776
P78356	ENSP00000482548
P78362	ENSP00000377262
P78362	ENSP00000349863
P78362	ENSP00000419791
P78368	ENSP00000255641
P78527	ENSP00000313420
P78527	ENSP00000345182
P80192	ENSP00000451612
P80192	ENSP00000451263
Q00526	ENSP00000410561
Q00532	ENSP00000379176
Q00534	ENSP00000265734
Q00534	ENSP00000397087
Q00535	ENSP00000419782
Q00535	ENSP00000297518
Q00536	ENSP00000405798
Q00536	ENSP00000349762
Q00536	ENSP00000429751
Q00536	ENSP00000276052
Q00537	ENSP00000261211
Q00537	ENSP00000444459
Q02156	ENSP00000306124
Q02750	ENSP00000302486
Q02763	ENSP00000430686
Q02763	ENSP00000369375
Q02763	ENSP00000383977
Q02779	ENSP00000253055
Q03405	ENSP00000342049
Q03405	ENSP00000339328
Q03405	ENSP00000221264
Q04759	ENSP00000263125
Q04759	ENSP00000380361
Q04759	ENSP00000441752
Q04771	ENSP00000263640
Q04771	ENSP00000387273
Q04771	ENSP00000387127
Q04771	ENSP00000405004
Q04912	ENSP00000296474
Q04912	ENSP00000341325
Q05397	ENSP00000429911
Q05397	ENSP00000429474
Q05397	ENSP00000341189
Q05397	ENSP00000378644
Q05513	ENSP00000367830
Q05513	ENSP00000383712
Q05513	ENSP00000426412
Q05513	ENSP00000383711
Q05655	ENSP00000378217
Q05655	ENSP00000331602
Q05823	ENSP00000356530
Q05823	ENSP00000440844
Q06187	ENSP00000308176
Q06187	ENSP00000483570
Q06418	ENSP00000263798
Q07002	ENSP00000399082
Q07002	ENSP00000423665
Q07002	ENSP00000353176
Q07912	ENSP00000371341
Q07912	ENSP00000329425
Q07912	ENSP00000395588
Q08345	ENSP00000415730
Q08345	ENSP00000400393
Q08345	ENSP00000401397
Q08345	ENSP00000397769
Q08345	ENSP00000416183
Q08345	ENSP00000449190
Q08345	ENSP00000447474
Q08345	ENSP00000479204
Q08345	ENSP00000416145
Q08345	ENSP00000405540
Q08345	ENSP00000414285
Q08345	ENSP00000391805
Q08345	ENSP00000401208
Q08345	ENSP00000484013
Q08345	ENSP00000449611
Q08345	ENSP00000448115
Q08345	ENSP00000383262
Q08345	ENSP00000383261
Q08345	ENSP00000372868
Q08345	ENSP00000259875
Q08345	ENSP00000383265
Q08345	ENSP00000448377
Q08345	ENSP00000484588
Q08345	ENSP00000449307
Q08345	ENSP00000383337
Q08345	ENSP00000383336
Q08345	ENSP00000383339
Q08345	ENSP00000383338
Q08345	ENSP00000383334
Q08345	ENSP00000479195
Q08345	ENSP00000449255
Q08345	ENSP00000449238
Q08345	ENSP00000318217
Q08345	ENSP00000407699
Q08345	ENSP00000406091
Q08345	ENSP00000365753
Q08345	ENSP00000365752
Q08345	ENSP00000421978
Q08345	ENSP00000422442
Q08345	ENSP00000365751
Q08345	ENSP00000427552
Q08345	ENSP00000365754
Q08345	ENSP00000405039
Q08345	ENSP00000365759
Q08881	ENSP00000398655
Q09013	ENSP00000291270
Q09013	ENSP00000345997
Q09013	ENSP00000413417
Q09013	ENSP00000401753
Q09013	ENSP00000346168
Q09013	ENSP00000482746
Q12851	ENSP00000294066
Q12852	ENSP00000267079
Q12852	ENSP00000449038
Q12852	ENSP00000448689
Q12866	ENSP00000295408
Q12866	ENSP00000389152
Q13043	ENSP00000361892
Q13043	ENSP00000361887
Q13131	ENSP00000380317
Q13131	ENSP00000346148
Q13153	ENSP00000348696
Q13153	ENSP00000278568
Q13163	ENSP00000178640
Q13163	ENSP00000378859
Q13163	ENSP00000346493
Q13164	ENSP00000299612
Q13164	ENSP00000378966
Q13164	ENSP00000378968
Q13164	ENSP00000311005
Q13177	ENSP00000314067
Q13188	ENSP00000390500
Q13188	ENSP00000429744
Q13233	ENSP00000382423
Q13237	ENSP00000378945
Q13237	ENSP00000264399
Q13315	ENSP00000388058
Q13315	ENSP00000278616
Q13418	ENSP00000299421
Q13418	ENSP00000403487
Q13418	ENSP00000435323
Q13418	ENSP00000379975
Q13418	ENSP00000434492
Q13464	ENSP00000382697
Q13470	ENSP00000458834
Q13470	ENSP00000459799
Q13523	ENSP00000433547
Q13523	ENSP00000337194
Q13535	ENSP00000343741
Q13546	ENSP00000259808
Q13546	ENSP00000369773
Q13554	ENSP00000326375
Q13554	ENSP00000379098
Q13554	ENSP00000397937
Q13554	ENSP00000351542
Q13554	ENSP00000326427
Q13554	ENSP00000326544
Q13554	ENSP00000326518
Q13554	ENSP00000258682
Q13554	ENSP00000379096
Q13554	ENSP00000390292
Q13555	ENSP00000277853
Q13555	ENSP00000315599
Q13555	ENSP00000307082
Q13555	ENSP00000319060
Q13557	ENSP00000378032
Q13557	ENSP00000339740
Q13557	ENSP00000423482
Q13557	ENSP00000378030
Q13557	ENSP00000369098
Q13557	ENSP00000422566
Q13557	ENSP00000296402
Q13627	ENSP00000342690
Q13627	ENSP00000340373
Q13627	ENSP00000381932
Q13627	ENSP00000381929
Q13705	ENSP00000340361
Q13873	ENSP00000363708
Q13873	ENSP00000363702
Q13882	ENSP00000442460
Q13882	ENSP00000217185
Q13976	ENSP00000363092
Q13976	ENSP00000363086
Q14004	ENSP00000181839
Q14004	ENSP00000340557
Q14012	ENSP00000256460
Q14164	ENSP00000462396
Q14164	ENSP00000464030
Q14289	ENSP00000380638
Q14289	ENSP00000332816
Q14289	ENSP00000427931
Q14289	ENSP00000391995
Q14680	ENSP00000298048
Q14680	ENSP00000439184
Q14680	ENSP00000445452
Q14680	ENSP00000441596
Q14680	ENSP00000439792
Q14680	ENSP00000437804
Q14680	ENSP00000443550
Q15078	ENSP00000318486
Q15118	ENSP00000282077
Q15118	ENSP00000376352
Q15118	ENSP00000386985
Q15119	ENSP00000007708
Q15119	ENSP00000420927
Q15119	ENSP00000481915
Q15120	ENSP00000368460
Q15120	ENSP00000387536
Q15139	ENSP00000333568
Q15139	ENSP00000482645
Q15208	ENSP00000229812
Q15303	ENSP00000342235
Q15303	ENSP00000403204
Q15349	ENSP00000265678
Q15349	ENSP00000427015
Q15375	ENSP00000358309
Q15375	ENSP00000358303
Q15418	ENSP00000363283
Q15418	ENSP00000431651
Q15418	ENSP00000435412
Q15569	ENSP00000338127
Q15569	ENSP00000481045
Q15746	ENSP00000354004
Q15746	ENSP00000428967
Q15746	ENSP00000463691
Q15746	ENSP00000320622
Q15746	ENSP00000462118
Q15746	ENSP00000418335
Q15746	ENSP00000346846
Q15746	ENSP00000352088
Q15746	ENSP00000353452
Q15750	ENSP00000216160
Q15750	ENSP00000333049
Q15759	ENSP00000333685
Q15759	ENSP00000379113
Q15831	ENSP00000324856
Q15835	ENSP00000334876
Q16288	ENSP00000377990
Q16288	ENSP00000453959
Q16288	ENSP00000318328
Q16288	ENSP00000444673
Q16288	ENSP00000347397
Q16288	ENSP00000354207
Q16288	ENSP00000350356
Q16512	ENSP00000242783
Q16512	ENSP00000343325
Q16513	ENSP00000359552
Q16513	ENSP00000359544
Q16539	ENSP00000229795
Q16539	ENSP00000229794
Q16539	ENSP00000308669
Q16566	ENSP00000422634
Q16566	ENSP00000282356
Q16584	ENSP00000309597
Q16584	ENSP00000433886
Q16620	ENSP00000365381
Q16620	ENSP00000306167
Q16620	ENSP00000277120
Q16620	ENSP00000314586
Q16620	ENSP00000352906
Q16620	ENSP00000365387
Q16620	ENSP00000379221
Q16620	ENSP00000365386
Q16644	ENSP00000396467
Q16644	ENSP00000350639
Q16644	ENSP00000478922
Q16654	ENSP00000005178
Q16659	ENSP00000261845
Q16816	ENSP00000297373
Q16816	ENSP00000445440
Q16832	ENSP00000356899
Q16832	ENSP00000356898
Q16854	ENSP00000264093
Q16854	ENSP00000306964
Q16854	ENSP00000408209
Q16875	ENSP00000369115
Q16875	ENSP00000353712
Q16875	ENSP00000369100
Q16875	ENSP00000443319
Q2M2I8	ENSP00000386456
Q2M2I8	ENSP00000385181
Q2TB90	ENSP00000346643
Q32MK0	ENSP00000378288
Q32MK0	ENSP00000439297
Q52WX2	ENSP00000343248
Q56UN5	ENSP00000365005
Q56UN5	ENSP00000351140
Q56UN5	ENSP00000365004
Q56UN5	ENSP00000376650
Q56UN5	ENSP00000376649
Q59H18	ENSP00000322251
Q5S007	ENSP00000298910
Q5TCQ9	ENSP00000358630
Q5TCQ9	ENSP00000304604
Q5TCQ9	ENSP00000358628
Q5TCQ9	ENSP00000358624
Q5VT25	ENSP00000355729
Q5VT25	ENSP00000335341
Q5VT25	ENSP00000355731
Q6DT37	ENSP00000345133
Q6P3R8	ENSP00000347767
Q6P3R8	ENSP00000477810
Q6PHR2	ENSP00000400312
Q6PHR2	ENSP00000456051
Q6PHR2	ENSP00000457853
Q6XUX3	ENSP00000356129
Q6XUX3	ENSP00000356130
Q6XUX3	ENSP00000478016
Q6ZN16	ENSP00000352093
Q6ZN16	ENSP00000345629
Q7KZI7	ENSP00000425765
Q7KZI7	ENSP00000355091
Q7KZI7	ENSP00000294247
Q7KZI7	ENSP00000423974
Q7KZI7	ENSP00000421075
Q7KZI7	ENSP00000386128
Q7KZI7	ENSP00000385751
Q7L7X3	ENSP00000261716
Q7L7X3	ENSP00000438819
Q86UE8	ENSP00000275780
Q86UE8	ENSP00000316512
Q86UE8	ENSP00000340800
Q86UX6	ENSP00000357611
Q86UX6	ENSP00000298630
Q86V86	ENSP00000353824
Q86Y07	ENSP00000408002
Q86Y07	ENSP00000402375
Q86Y07	ENSP00000342381
Q86Y07	ENSP00000398323
Q86Y07	ENSP00000404156
Q86YV6	ENSP00000274643
Q86Z02	ENSP00000407442
Q86Z02	ENSP00000358572
Q86Z02	ENSP00000358571
Q86Z02	ENSP00000340956
Q86Z02	ENSP00000358566
Q8IU85	ENSP00000478874
Q8IU85	ENSP00000368122
Q8IVH8	ENSP00000263881
Q8IVW4	ENSP00000265334
Q8IVW4	ENSP00000430496
Q8IW41	ENSP00000449667
Q8IW41	ENSP00000449381
Q8IWQ3	ENSP00000310697
Q8IWQ3	ENSP00000433684
Q8IWQ3	ENSP00000432000
Q8IWQ3	ENSP00000431152
Q8IWQ3	ENSP00000433370
Q8IWQ3	ENSP00000433235
Q8IWQ3	ENSP00000371614
Q8IY84	ENSP00000313572
Q8IY84	ENSP00000420849
Q8IYT8	ENSP00000354877
Q8IYT8	ENSP00000378914
Q8N4C8	ENSP00000347427
Q8N568	ENSP00000296550
Q8N568	ENSP00000427235
Q8N568	ENSP00000303887
Q8N5S9	ENSP00000323118
Q8N5S9	ENSP00000158166
Q8N752	ENSP00000369126
Q8NE63	ENSP00000291823
Q8NEB9	ENSP00000262039
Q8NEV4	ENSP00000265944
Q8NEV4	ENSP00000365479
Q8NFD2	ENSP00000306678
Q8NG66	ENSP00000423458
Q8NG66	ENSP00000425114
Q8NG66	ENSP00000372857
Q8NG66	ENSP00000426662
Q8NG66	ENSP00000421851
Q8NG66	ENSP00000349389
Q8TBX8	ENSP00000412035
Q8TBX8	ENSP00000439878
Q8TBX8	ENSP00000447390
Q8TBX8	ENSP00000347032
Q8TCT0	ENSP00000216264
Q8TD08	ENSP00000483093
Q8TD08	ENSP00000478678
Q8TD08	ENSP00000337691
Q8TD08	ENSP00000378539
Q8TD08	ENSP00000378540
Q8TD19	ENSP00000238616
Q8TDC3	ENSP00000468190
Q8TDC3	ENSP00000310649
Q8TDC3	ENSP00000467357
Q8TDR2	ENSP00000370891
Q8TDX7	ENSP00000356355
Q8TDX7	ENSP00000444621
Q8TDX7	ENSP00000356353
Q8TF76	ENSP00000325290
Q8WTQ7	ENSP00000264952
Q8WU08	ENSP00000381030
Q8WXR4	ENSP00000386497
Q8WXR4	ENSP00000314650
Q8WXR4	ENSP00000386213
Q92630	ENSP00000342105
Q92630	ENSP00000377186
Q92772	ENSP00000412365
Q92918	ENSP00000465039
Q93100	ENSP00000456729
Q93100	ENSP00000299167
Q93100	ENSP00000313504
Q96BR1	ENSP00000430463
Q96BR1	ENSP00000430256
Q96BR1	ENSP00000430691
Q96BR1	ENSP00000331816
Q96BR1	ENSP00000379842
Q96D53	ENSP00000315118
Q96D53	ENSP00000243583
Q96GD4	ENSP00000313950
Q96GD4	ENSP00000443869
Q96GD4	ENSP00000463999
Q96GD4	ENSP00000462207
Q96KB5	ENSP00000301905
Q96KB5	ENSP00000428489
Q96L34	ENSP00000262891
Q96L34	ENSP00000300843
Q96NX5	ENSP00000009105
Q96NX5	ENSP00000354861
